,comment,star,date,,상품링크
78,"남자친구 선물했는데 너무 좋아합니다ㅎ
배송도 빠르고 좋아요 정사이즈 입이다",5,22.06.26.,,
79,"오버핏을 기대했는데 그건 아니네요.
남성 정사이즈같구요.
여자가 착용시에는 어깨가 길어서 그부분은
안 이쁘네요.
그래도 좋은가격에 편하게 입습니다.",5,22.06.19.,,
80,색감예뻐요 원래사이즈에서 작게주문했더니 편하게 입기 좋네요 굿~!,5,22.06.28.,,
81,남자친구랑 커플로 샀는데 너무 예뻐요 ㅎㅎ 잘 입겠습니다 ~,5,22.07.03.,,
82,남자친구랑 커플로 샀는데 너무 예뻐요 ㅎㅎ 잘 입겠습니다 ~,5,22.07.03.,,
83,사이즈 품질 다좋아요 감사합니다,5,22.07.07.,,
84,좋아요 맘에들어요  어어엄청,5,22.07.10.,,
85,두께도 얇지않고 적당하고 편하게 잘입어요,5,22.07.08.,,
86,목이 바로 늘어날것같아서 걱정했는데 예상외로 그렇지 않네요 ㅎㅎ 티셔츠 예뻐요! 커플템으로 넘넘 추천합니다,4,22.07.13.,,
87,Xl가 생각보다 크더라구용,5,22.07.13.,,
88,커플티로 구매했어요. 재질도 적당히 괜찮고 예뻐요!,5,22.07.03.,,
89,재질이 생각보다 얇을 줄 알았는데 그렇진않네요 예뻐서 ㅎㅎ 편하게 잘 입을 것 같아요~~~,5,22.06.29.,,
90,이뻐요 잘 입고 잇어용ㅎㅎ,5,22.07.08.,,
91,"넘 예쁘고 심플하면서 얇은 면이 더운여름에도
시원하게 잘입고있어요
블랙과 화이트색상두벌 했는데
울딸냄 이 잘입어요
저보다더많이입어서 다른색상추가구매해야겠어요
예쁘고 고급지고 편한티셔츠입니다👍👍👍🥰🥰🥰🥰",5,22.07.08.,,
92,빠른배송에 즇은상품 감사합니다,5,22.07.09.,,
93,좋은데좀많이얇아요오,5,22.07.14.,,
94,너무좋아요 맘에쏙둡니다,5,22.07.10.,,
95,"색상도 옷감원단도 다좋은데
빨래를 잘못했는지 손빨래 했는데
많이 늘어나 목상태두 안좋구ㅜㅜ
검정은  괴안은데 색상별 옷감차이가 있나봐요",3,22.07.15.,,
96,"많이 얇지 않고 보드라워요
그리고 사이즈가 적당해요. s입는데 딱 달라붙지 않고 적당히 여유있어 예뻐요ㅔ",5,22.06.29.,,
97,선물용 딸아이 구매 딱 좋은핏이에요 좋아요 패밀리룩으로 입기좋을것같아여 많이파세영,5,22.06.25.,,
98,선물용 딸아이 구매 딱 좋은핏이에요 좋아요 패밀리룩으로 입기좋을것같아여 많이파세영,5,22.06.25.,,
99,선물용 딸아이 구매 딱 좋은핏이에요 좋아요 패밀리룩으로 입기좋을것같아여 많이파세영,5,22.06.25.,,
