,comment,star,date,,상품 링크
56,"160 보통 기준 m사이즈 좋아요
상의는 딱 맞게 입고 바지를 널널하게 입는걸 좋아해서 만족해용 이런 핏 안좋아하는 분들은 쨍긴다 생각할 수도 있어요 통통이상은 L입으시는게 좋아요",5,22.06.11.,,
57,"배송도 빨리 오고 옷도 너무 이쁘네요!
길이도 적당해서 좋아요",5,22.06.21.,,
58,배송은 직구중에 젤빠르고 상품잘받았습니다~,5,22.07.07.,,
59,마음에 들어요 사이즈도 적당하고 저렴하게 잘 샀습니다,5,22.06.25.,,
60,"블루색 티셔츠끼리 색상은 같고 포니만 색이 다른줄 알았는데 아니었네요,, 티셔츠 색도 달라서 당황했는데 그래도 이쁩니당",4,22.06.21.,,
61,이 가격에 살 수 있다니~ 추천,5,22.07.10.,,
62,"얇고 질 좋아요 
여름에 입기 좋음",5,22.07.06.,,
63,색도 맘에 들고 좋아요 이게 사진에 실물 색감이 안잡히는데 촌스럽지 않는 녹색입니더,5,22.06.20.,,
64,키작은 55사이즈 여잔데 보이 L사이즈가 넉넉하니 딱 좋아요. 딱 맞게 입음 안 예쁠 거 같아서 일부러 넉넉하게 입으려고 L했는데 원했던 핏이에여. 배송도 빠르고 포장도 잘 되어서 왔어요,5,22.06.15.,,
65,싸게 잘 샀어요~~,5,22.07.08.,,
66,조아조아요 한두번 빠니까 목이 좀 늘어남 그래도 클래식 이즈 더 베스트 질이 좋아요,5,22.07.12.,,
67,"생각보다 사이즈도 괜찮았고 색상은 그대로예요
옷감도 부드럽고 아주 마음에 들어요
요즘엔 아울렛에서도 뜬금없이 금액이 너무 비싸서 그돈 주고 사기엔 아까웠는데 적당한 금액으로 잘 사서 좋아요",4,22.06.08.,,
68,사이즈도 딱 맘에들고  다른섹들 더  입고되면 또사고 싶어요,5,22.06.30.,,
69,가성비 좋게 잘샀어염,5,22.07.09.,,
70,가성비 좋게 잘샀어염,5,22.07.09.,,
71,싸게 잘 샀습니다 고양이가 좋아해요,4,22.06.30.,,
72,색상넘 예쁘고요 핑크포니도 사랑스럽네요,5,22.06.28.,,
