,comment,star,date,,상품 링크
148,이뻐요 ㅋㅋ남자친구는 살집이있어서 빼고입는데요,5,22.05.23.,,
149,정품이랑 비교해봤을 때 로고크기랑 형태가 너무 달라요 멀리서보면 티 안날 거 같긴한데 퀄리티가 현저히 떨어집니다. 그냥 돈 더주고 매장가서 착용해보고 정품 구매하세요,2,22.05.07.,,
150,품질이 좋습니다 한장더살까싶어요,5,22.05.28.,,
151,예쁘고 딱 맞아서 웨딩촬영 커플룩으로 잘 사용했습니다,5,22.05.25.,,
152,폴로 티셔츠 잘 받았습니다.,5,22.06.02.,,
153,160에 45키로인데 살짝 넉넉하게 핏되네요! 좋아요,5,22.05.23.,,
154,사이즈 정사이즈고 배송도 빨랐어요~!!ㅎㅎ좋아유,5,22.05.26.,,
155,커플티로 입으려고 샀는데 너무 예쁘고 맘에 들어용 !!! 예쁜거 있으면 또 구매 할게용 ~,5,22.05.13.,,
156,개인의견이지만 믿음이 잘 안가서 온라인으로 옷 잘 안사는데 여기서 신뢰를 찾았네요 넘 마음에 듭니다~^^,5,22.05.13.,,
157,개인의견이지만 믿음이 잘 안가서 온라인으로 옷 잘 안사는데 여기서 신뢰를 찾았네요 넘 마음에 듭니다~^^,5,22.05.13.,,
158,추천 사이즈 가 딱 핏도 이쁘고 원단 부드럽고 조아요. 커플룩으로 구매햇는데 맘에 드네요..,5,22.04.20.,,
159,추천 사이즈 가 딱 핏도 이쁘고 원단 부드럽고 조아요. 커플룩으로 구매햇는데 맘에 드네요..,5,22.04.20.,,
160,한번 사보고 좋아서 또 구매했어요 완전만족,5,22.04.30.,,
161,옷 핏이 너무 예뻐요!,5,22.05.27.,,
162,월요일에 주문해서 바로 다음날 출고 됐는데 금요일에 배송 받았어요ㅠ커플티로 입으려고 샀는데 사이즈가 아쉽지만 예쁘니까 괜찮아여..,5,22.04.16.,,
163,너무 좋은거같아요 부들부들하이 좋슴돠,5,22.05.20.,,
164,평소 55입는데 m시키니맞네용,5,22.05.30.,,
165,사이즈도 딱맞고 너무 이쁘네요,5,22.05.06.,,
166,월요일에 주문해서 바로 다음날 출고 됐는데 금요일에 배송 받았어요ㅠ커플티로 입으려고 샀는데 사이즈가 아쉽지만 예쁘니까 괜찮아여.,5,22.04.16.,,
167,낙낙한 사이즈도 좋고 질이 좋아요~,5,22.05.20.,,
168,예쁩니다 !!!! 좋아요,5,22.05.10.,,
169,다들 이쁘다고해줘서 기분이 좋습니다,5,22.05.23.,,
170,깔끔한게 너무이쁩니다,5,22.05.26.,,
171,선물해 준건데 너무 좋아하고 만족해하네요 예뻐요!,5,22.05.17.,,
172,"가격대비 좋아요
마음에 듭니다.",5,22.05.16.,,
173,이쁩니다~~~~~~~,5,22.06.20.,,
174,이쁩니다~~~~~~~,5,22.06.20.,,
175,좋아요.......,5,22.06.02.,,
176,진짜 제품 퀄리티 대만족입니다.,5,22.05.19.,,
177,사이즈도좋고  색상도 맘에 들어요,4,22.05.16.,,
178,너무 편하고 재질도 좋아요,5,22.04.28.,,
179,부드럽고 정사이즈 좋아요~~~^^,5,22.05.21.,,
180,배송도 가격도 가성비도 모두 좋아요,5,22.05.19.,,
181,부들부들하게 잘입을러같네요,5,22.05.20.,,
182,사이즈 잘맞고 좋아요,5,22.05.19.,,
183,"여름에 잘입을께요
이쁘네요",5,22.04.26.,,
184,정사이즈고 부드럽네요^^,5,22.05.21.,,
185,사이즈도 딱 맞고 편해요,4,22.05.16.,,
186,만족합니다 역시 폴로,5,22.05.17.,,
187,정사이즈에 딱 맞습니다~,5,22.05.19.,,
188,너무 예쁘고 좋아요!!,5,22.05.19.,,
189,잘받았습니당 잘입을게용,5,22.05.18.,,
190,배송 진짜 빨리왔어요! 해외배송의 경우 기다려야되는데 이 상품은 빨리 받아서 좋네요!ㅎㅎ,5,22.04.13.,,
191,좋아요 생각보다 딱 맞습니다,5,22.05.09.,,
192,가품 같은 걱정 안하고 구매할 수 있어서 좋았어요!,5,22.05.10.,,
193,"사이즈도 적당하고 면도 부드럽고 좋아요
검정색도 사고 싶네요~",5,22.05.10.,,
194,재질 품질 사이즈 다좋습니다,5,22.05.07.,,
195,아주 이쁘고 사이즈도 딱맞고 선물로 줬는데 좋아하네요,5,22.05.07.,,
196,커플로 입으려고 샀습니당 남친은 클래식 저는 보이즈 편하게 잘맞아용,5,22.04.13.,,
